ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom
I-2220,0.00102459,1.0000,qt,976.0000,g
I-2221,0.03205128,1.0000,fl oz,31.2000,g
I-2221,0.00400000,1.0000,cup,250.0000,g
I-2221,0.00100000,1.0000,qt,1000.0000,g
I-2223,0.03267974,1.0000,fl oz,30.6000,g
I-2223,0.00408163,1.0000,cup,245.0000,g
I-2223,0.00102041,1.0000,qt,980.0000,g
I-2236,0.03278689,1.0000,fl oz,30.5000,g
I-2236,0.00409836,1.0000,cup,244.0000,g
I-2236,0.00102459,1.0000,qt,976.0000,g
I-2244,0.10638298,1.0000,Tbsp,9.4000,g
I-2244,0.00662252,1.0000,cup,151.0000,g
I-2244,0.00447628,1.0000,Kg,223.4000,PTN
I-2251,0.03278689,1.0000,fl oz,30.5000,g
I-2251,0.00409836,1.0000,cup,244.0000,g
I-2251,0.00102459,1.0000,qt,976.0000,g
I-2252,0.06666667,1.0000,Tbsp,15.0000,g
I-2252,0.03278689,1.0000,fl oz,30.5000,g
I-2252,0.00409836,1.0000,cup,244.0000,g
I-2252,0.00102459,1.0000,qt,976.0000,g
I-2254,0.06666667,1.0000,Tbsp,15.0000,g
I-2254,0.00413223,1.0000,cup,242.0000,g
I-2306,0.02000000,1.0000,Kg,50.0000,slice
I-2310,0.02000000,1.0000,Kg,50.0000,slice
I-2313,0.02000000,1.0000,Kg,50.0000,slice
I-2489,0.00847458,1.0000,ea,118.0000,g
I-2572,0.01666667,1.0000,CT,60.0000,g
I-2654,0.00200000,1.0000,CT,500.0000,g
I-2903,0.22222222,1.0000,tsp,4.5000,g
I-2903,0.07407407,1.0000,Tbsp,13.5000,g
I-2903,0.00462963,1.0000,cup,216.0000,g
I-2933,5.00000000,5.0000,CT,1.0000,ea
I-3141,1.40845070,1.4085,ml,1.0000,g
I-3143,2.84000000,2.8400,L,1.0000,can
I-3144,0.06250000,1.0000,Tbsp,16.0000,g
I-3144,0.00390625,1.0000,cup,256.0000,g
I-3144,0.00229358,1.0000,can,436.0000,g
I-3145,0.00416667,1.0000,cup,240.0000,g
I-3145,0.00226244,1.0000,can,442.0000,g
I-3146,0.00413223,1.0000,cup,242.0000,g
I-3146,0.00225225,1.0000,can,444.0000,g
I-3149,0.00416667,1.0000,cup,240.0000,g
I-3159,0.00040000,1.0000,bottle,2500.0000,g
I-3225,0.06666667,1.0000,Tbsp,15.0000,g
I-3225,0.00442478,1.0000,cup,226.0000,g
I-3229,0.00390625,1.0000,cup,256.0000,g
I-3237,0.16666667,1.0000,pak,6.0000,g
I-3283,0.23809524,1.0000,tsp,4.2000,g
I-3283,0.07692308,1.0000,Tbsp,13.0000,g
I-3284,0.23809524,1.0000,tsp,4.2000,g
I-3284,0.07692308,1.0000,Tbsp,13.0000,g
I-3284,0.00480769,1.0000,cup,208.0000,g
